IPR010533       Vertebrate interleukin-3 regulated transcription factor
IPR010534       Bacteriophage 933W, GpQ
IPR010535       Protein of unknown function DUF1110
IPR010536       Repulsive guidance molecule, N-terminal
IPR010537       Avian adenovirus fibre
IPR010538       Di-haem oxidoreductase, putative peroxidase
IPR010539       Bax inhibitor-1
IPR010540       Putative ABC-transporter type IV CmpB/TMEM229
IPR010541       Domain of unknown function DUF1115
IPR010542       Vertebrate heat shock transcription factor, C-terminal domain
IPR010543       Domain of unknown function DUF1117
IPR010544       Kinesin-related conserved domain
IPR010545       Signal-peptide peptidase, presenilin aspartyl protease
IPR010546       Protein of unknown function DUF1120
IPR010547       Plant specific mitochondrial import receptor subunit TOM20
IPR010548       BNIP3
IPR010549       African swine fever virus, IAP-like p27, C-terminal
IPR010550       Deoxycytidine triphosphate deaminase, bacterial
IPR010551       Glucose-6-phosphate isomerase, prokaryote
IPR010554       Protein of unknown function DUF1126
IPR010555       Chondroitin sulphate attachment
IPR010557       Protein of unknown function DUF1133
IPR010558       Caenorhabditis elegans ly-6-related
IPR010559       Signal transduction histidine kinase, internal reg
